Nr;Art;x;y;z
ECK1;0;17.61;-27.25;0.45
ECK2;0;-22.37;-27.92;0.39
ECK3;0;-23.03;32.27;-0.21
ECK4;0;16.80;32.87;-0.37
1;112;17.20;-25.41;0.33
2;221;15.79;-26.46;0.43
3;221;15.32;-24.89;0.41
4;112;15.05;-23.99;0.29
5;112;11.66;-26.09;0.31
6;112;8.56;-26.37;0.34
7;112;6.00;-24.76;0.45
8;342;5.89;-26.21;0.46
9;342;5.40;-26.27;0.45
10;112;5.06;-25.03;0.42
11;112;3.52;-25.14;0.39
12;221;3.39;-26.58;0.41
13;112;1.98;-27.16;0.45
14;112;0.53;-25.38;0.41
15;112;0.41;-27.21;0.49
16;112;-1.39;-27.43;0.47
17;112;-4.40;-25.83;0.41
18;221;-6.09;-26.16;0.41
19;112;-7.47;-26.34;0.31
20;112;-11.83;-26.55;0.32
21;112;-13.87;-26.57;0.33
22;112;-7.92;-24.49;0.31
23;112;-6.62;-24.52;0.38
24;112;-5.71;-24.48;0.35
25;112;2.60;-23.48;0.36
26;112;5.00;-23.13;0.36
27;112;7.22;-22.94;0.38
28;221;8.99;-22.42;0.30
29;112;11.15;-22.39;0.29
30;221;13.32;-22.35;0.31
31;221;13.68;-22.90;0.33
32;221;15.24;-21.38;0.32
33;112;16.98;-21.77;0.30
34;221;16.33;-20.53;0.27
35;112;16.42;-20.08;0.27
36;112;13.14;-20.82;0.36
37;112;7.45;-21.20;0.32
38;112;5.72;-21.43;0.41
39;342;5.32;-21.81;0.40
40;112;-12.49;-22.98;0.25
41;112;-14.26;-23.04;0.32
42;112;-18.83;-23.65;0.37
43;112;-22.04;-24.27;0.40
44;221;-21.89;-23.00;0.45
45;342;-19.18;-21.48;0.29
46;342;-17.97;-22.08;0.30
47;112;-16.10;-21.60;0.31
48;112;-15.04;-21.17;0.25
49;112;-13.57;-21.26;0.18
50;112;-13.06;-21.09;0.16
51;112;-12.39;-21.15;0.23
52;112;-9.78;-20.85;0.28
53;112;-8.28;-20.62;0.31
54;112;-5.14;-20.81;0.34
55;112;-3.34;-20.58;0.33
56;112;-1.96;-20.44;0.30
57;112;10.01;-17.23;0.27
58;112;8.68;-17.43;0.19
59;342;8.02;-16.45;0.27
60;342;7.90;-16.52;0.34
61;112;6.24;-17.69;0.25
62;112;1.60;-18.41;0.31
63;112;-0.69;-18.82;0.40
64;342;-2.99;-18.56;0.35
65;112;-3.36;-19.21;0.33
66;342;-5.03;-18.58;0.36
67;112;-5.29;-19.07;0.37
68;112;-7.06;-18.96;0.29
69;221;-10.48;-19.19;0.32
70;112;-11.61;-19.50;0.27
71;342;-13.22;-19.95;0.14
72;112;-17.07;-19.72;0.28
73;112;-20.94;-20.27;0.33
74;112;-22.18;-18.49;0.37
75;342;-21.57;-17.82;0.38
76;112;-20.66;-18.16;0.29
77;221;-18.46;-17.48;0.40
78;221;-14.43;-17.73;0.27
79;221;-14.70;-17.25;0.27
80;342;-13.90;-17.37;0.22
81;112;-13.96;-17.60;0.26
82;221;-9.28;-17.90;0.33
83;342;-6.35;-17.51;0.29
84;112;-5.11;-16.87;0.27
85;342;-3.24;-16.80;0.31
86;112;-1.32;-16.68;0.30
87;342;2.79;-16.52;0.25
88;112;3.63;-16.20;0.24
89;342;5.36;-16.60;0.26
90;112;6.09;-15.90;0.18
91;112;7.52;-15.77;0.24
92;342;10.22;-15.41;0.17
93;112;13.23;-15.25;0.20
94;342;13.75;-15.10;0.18
95;342;13.60;-14.87;0.18
96;112;15.00;-15.62;0.25
97;342;16.52;-13.82;0.18
98;342;16.78;-13.26;0.14
99;112;15.59;-13.34;0.10
100;112;14.04;-12.83;0.14
101;342;13.15;-13.66;0.24
102;342;11.90;-13.43;0.28
103;112;11.47;-13.37;0.25
104;342;11.40;-14.06;0.26
105;112;3.24;-14.42;0.17
106;342;0.96;-15.08;0.24
107;112;-0.36;-15.04;0.22
107;112;-1.54;-15.07;0.29
108;112;-2.31;-15.06;0.34
109;342;-5.06;-15.68;0.32
110;112;-5.49;-15.56;0.30
111;342;-8.65;-16.01;0.23
112;112;-9.22;-15.68;0.22
113;112;-11.52;-16.17;0.25
114;221;-13.22;-16.30;0.22
115;112;-17.01;-14.58;0.20
116;342;-5.77;-14.88;0.27
117;342;-6.00;-14.64;0.30
118;112;-5.40;-13.30;0.30
119;342;-4.55;-14.12;0.36
120;112;-1.66;-13.30;0.30
121;112;-1.19;-13.10;0.32
122;112;0.48;-12.83;0.16
123;112;2.26;-12.86;0.21
124;342;2.73;-12.40;0.19
125;342;5.11;-12.13;0.17
126;342;5.01;-12.90;0.24
127;112;8.56;-12.43;0.27
128;112;10.08;-12.14;0.18
129;342;10.67;-12.97;0.21
130;112;13.55;-11.56;0.17
131;112;16.95;-11.43;0.16
132;112;14.83;-10.05;0.12
133;342;13.47;-9.26;0.14
134;342;10.24;-10.68;0.22
135;112;9.28;-10.48;0.16
136;112;5.40;-10.77;0.22
137;112;4.87;-10.86;0.14
138;342;-0.10;-11.01;0.14
139;112;-2.39;-11.51;0.19
140;221;-4.51;-11.88;0.37
141;112;-5.80;-11.85;0.28
142;221;-9.09;-11.20;0.32
143;112;-13.91;-12.72;0.28
144;112;-15.92;-12.68;0.16
145;221;-18.10;-12.67;0.21
146;221;-18.40;-13.64;0.26
147;112;-21.04;-13.10;0.29
148;112;-22.37;-13.37;0.21
149;112;-21.39;-11.28;0.18
150;112;-18.11;-10.85;0.10
151;112;-17.29;-10.80;0.10
152;112;-16.66;-10.65;0.07
153;221;-16.22;-11.04;0.13
154;112;-15.05;-10.52;0.26
155;112;-11.81;-10.41;0.22
156;112;-8.54;-10.24;0.23
157;112;-6.63;-10.08;0.26
158;112;-5.32;-9.94;0.23
159;112;-3.41;-9.78;0.20
160;112;-1.37;-9.54;0.14
161;112;-0.71;-9.43;0.10
162;342;1.93;-8.30;0.17
163;342;4.58;-8.15;0.14
164;112;6.55;-8.71;0.14
165;112;7.92;-8.72;0.16
166;342;10.12;-8.34;0.16
167;112;13.12;-8.31;0.13
168;112;14.66;-8.18;0.06
169;342;15.09;-8.45;0.19
170;112;16.46;-7.90;0.06
171;112;11.78;-6.60;0.16
172;112;10.67;-6.65;0.06
173;112;3.15;-7.55;0.13
174;112;0.85;-7.85;0.06
175;221;-0.15;-7.05;0.06
176;112;-1.51;-8.15;0.13
177;112;-3.17;-8.25;0.15
178;112;-4.24;-8.17;0.21
179;342;-5.72;-8.45;0.22
180;221;-7.99;-8.50;0.26
181;112;-10.58;-8.56;0.25
182;112;-13.76;-9.24;0.25
183;342;-14.84;-8.89;0.21
184;112;-18.65;-9.51;0.08
185;112;-22.29;-7.91;0.16
186;112;-19.45;-7.70;0.03
187;112;-15.89;-7.41;0.06
188;221;-7.80;-6.21;0.13
189;112;-4.37;-6.43;0.08
190;221;-1.40;-6.00;0.08
191;112;-0.09;-6.07;0.06
192;112;5.88;-5.34;0.04
193;112;8.55;-5.19;0.10
194;112;16.21;-3.97;0.04
195;112;17.20;-2.51;0.13
196;112;14.10;-2.95;0.09
197;342;14.03;-3.21;0.12
198;342;13.50;-3.07;0.07
199;112;12.83;-3.15;0.15
200;342;11.19;-3.06;0.11
201;112;2.09;-4.30;0.04
202;112;-0.37;-4.40;0.04
203;112;-4.50;-4.85;0.08
204;112;-5.21;-5.21;0.07
205;112;-7.30;-5.00;0.11
206;112;-10.80;-5.25;0.10
207;112;-12.31;-5.45;0.07
208;112;-13.04;-5.31;0.07
209;112;-15.38;-5.54;0.03
210;342;-18.78;-6.23;-0.00
210;112;-16.58;-3.97;-0.04
211;342;-15.82;-4.11;0.01
212;112;-14.66;-3.51;0.00
213;112;-12.71;-3.56;0.03
214;112;-7.61;-3.18;-0.00
215;112;-6.05;-3.11;-0.02
216;112;-2.64;-2.76;-0.02
217;112;-1.31;-2.54;-0.06
218;112;0.58;-2.37;-0.07
219;112;4.01;-2.26;0.09
220;112;7.24;-1.92;0.09
221;221;7.41;-1.76;0.06
222;112;8.70;-1.83;0.03
223;112;11.14;-1.30;0.09
224;342;13.25;-0.10;0.14
225;112;13.86;-1.15;0.10
226;342;15.34;-1.41;0.16
227;342;16.17;-0.85;0.07
228;112;14.32;0.66;0.05
229;112;13.10;0.56;0.14
230;112;10.55;0.11;-0.01
231;112;8.36;0.07;0.01
232;112;6.47;-0.28;0.01
233;221;4.73;-0.06;-0.03
234;112;2.02;-0.70;-0.10
235;221;0.21;-0.67;-0.01
236;112;-0.60;-1.09;-0.06
237;112;-3.37;-1.40;-0.07
238;112;-7.08;-1.47;-0.03
239;112;-10.44;-1.50;0.04
240;112;-12.33;-1.77;-0.02
241;342;-13.24;-2.76;-0.01
242;112;-15.30;-2.06;-0.08
243;221;-20.57;-0.53;0.04
244;221;-20.91;-0.49;-0.02
245;112;-18.09;-0.56;-0.05
246;112;-15.00;-0.12;-0.11
247;112;-14.30;-0.15;-0.09
248;112;-12.50;0.11;-0.06
249;112;-11.14;0.11;-0.04
250;112;-9.06;0.30;-0.05
251;112;-6.57;0.46;-0.05
252;342;-6.41;0.63;-0.05
253;112;-2.73;1.05;-0.14
254;342;4.12;1.01;-0.03
255;112;4.36;1.63;-0.12
256;112;5.55;1.54;-0.14
257;112;7.22;1.63;-0.05
258;112;8.42;1.82;-0.06
259;112;11.21;2.15;0.03
260;112;13.10;2.43;-0.02
261;342;16.14;1.92;-0.01
262;112;16.94;2.78;-0.04
263;211;16.88;5.36;-0.07
264;112;15.74;4.35;-0.07
265;342;14.49;4.83;0.00
266;112;14.11;4.27;0.00
267;112;9.80;3.74;-0.05
268;112;8.52;3.54;-0.06
269;112;7.45;3.58;-0.12
270;112;2.24;3.18;-0.13
271;112;1.41;3.17;-0.09
272;112;-0.53;2.98;-0.16
273;112;-2.38;2.71;-0.11
274;112;-5.05;2.56;-0.13
275;342;-8.00;1.66;-0.14
276;342;-10.51;2.69;-0.05
277;112;-11.28;1.72;-0.07
278;342;-13.23;2.00;-0.02
279;112;-13.51;1.69;-0.05
280;112;-14.20;1.43;-0.12
281;112;-16.36;1.56;-0.13
282;112;-21.22;2.76;-0.09
283;112;-18.53;3.07;-0.14
284;342;-14.79;3.55;-0.07
285;112;-13.94;3.59;-0.07
286;112;-11.74;3.76;0.00
287;112;-8.89;4.12;0.01
288;112;-7.24;4.11;-0.06
289;112;-3.07;4.53;-0.14
290;112;-2.60;4.46;-0.12
291;342;5.48;4.99;-0.07
292;221;8.96;5.85;0.01
293;112;9.69;5.62;0.02
294;112;11.83;5.76;-0.01
295;112;13.63;5.99;-0.04
296;342;15.74;8.26;-0.01
297;112;14.10;7.77;-0.01
298;342;13.14;7.43;-0.02
299;112;11.59;7.47;-0.10
300;321;8.60;8.00;-0.08
301;342;6.87;6.38;0.00
302;112;4.34;6.79;-0.01
303;112;3.28;6.72;-0.09
304;112;2.65;6.45;-0.13
305;342;1.25;7.21;-0.14
306;112;-0.26;6.23;-0.16
307;342;-2.42;6.38;-0.08
308;112;-7.87;5.52;-0.08
309;112;-10.93;5.36;-0.04
310;112;-12.73;5.17;-0.11
311;112;-12.73;5.17;-0.11
312;112;-15.88;4.76;-0.14
313;112;-17.85;4.70;-0.14
314;112;-20.80;4.53;-0.15
315;112;-18.82;6.31;-0.15
316;342;-16.49;6.02;-0.10
317;112;-16.36;6.55;-0.11
318;112;-11.82;7.01;-0.11
319;342;-10.32;7.33;-0.09
320;112;-9.77;7.38;-0.09
321;112;-6.66;7.50;-0.12
322;112;-3.89;7.71;-0.11
323;112;-3.26;7.86;-0.11
324;342;1.38;7.75;-0.02
325;112;1.51;8.32;-0.15
326;221;8.30;9.69;0.01
327;112;12.01;9.26;-0.08
328;221;15.44;9.42;-0.01
329;221;14.67;11.25;-0.10
330;112;12.67;11.11;-0.06
331;112;10.14;10.94;-0.06
332;112;9.45;10.90;-0.06
333;112;-0.90;9.91;-0.12
334;112;-5.01;9.33;-0.09
335;112;-6.45;9.44;-0.07
336;112;-10.64;8.54;-0.11
337;112;-13.15;8.46;-0.11
338;112;-15.54;8.24;-0.14
339;112;-18.21;7.90;-0.21
340;112;-21.01;9.71;-0.23
341;112;-17.98;9.62;-0.17
342;112;-15.98;9.87;-0.16
343;342;-13.46;10.26;-0.10
344;112;-13.01;10.35;-0.13
345;112;-9.02;10.34;-0.10
346;221;-8.94;10.03;-0.10
347;112;-7.16;10.85;-0.16
348;112;-4.77;11.44;-0.13
349;112;-2.33;11.48;-0.13
350;112;1.01;12.42;-0.08
351;112;3.07;12.67;-0.08
352;221;3.73;12.56;-0.02
353;112;4.85;12.75;-0.09
354;112;6.20;12.85;-0.07
355;112;9.36;13.15;-0.01
356;112;11.16;13.21;-0.10
357;112;13.35;13.26;-0.16
358;112;14.44;13.66;-0.08
359;112;15.48;13.54;-0.09
360;342;14.51;15.30;-0.07
361;112;13.51;15.11;-0.06
362;112;9.99;14.95;-0.04
363;221;9.57;14.97;-0.02
364;112;7.76;14.70;-0.04
365;112;5.96;14.55;-0.07
366;221;5.77;15.20;-0.03
367;112;3.00;15.74;-0.05
368;112;-0.26;14.01;0.01
369;112;-2.35;13.49;-0.13
370;112;-9.73;12.07;-0.12
371;112;-15.83;11.81;-0.08
372;112;-16.60;11.57;-0.11
373;112;-22.18;11.35;-0.20
374;112;-18.41;13.06;-0.14
375;112;-10.91;13.88;-0.14
376;221;-7.72;14.28;-0.04
377;221;-6.00;14.53;-0.12
378;112;14.19;16.49;-0.07
379;112;15.67;16.94;-0.09
380;112;14.22;18.47;-0.15
381;112;11.60;18.28;0.00
382;342;11.23;19.21;-0.06
383;112;8.10;17.95;-0.00
384;112;6.76;17.91;-0.00
385;342;6.31;17.05;0.04
386;112;4.80;17.48;-0.08
387;112;3.03;17.44;-0.11
388;221;1.71;17.51;-0.14
389;112;-0.29;17.31;-0.17
390;112;-2.14;16.98;-0.01
391;112;-7.85;16.41;-0.06
392;112;-11.50;16.09;-0.18
393;112;-14.93;15.98;-0.03
394;112;-18.37;15.96;-0.11
395;112;-19.36;15.66;-0.17
396;112;-20.43;15.29;-0.05
397;112;-20.89;15.36;-0.25
398;112;-13.10;17.89;-0.18
399;221;-12.50;17.59;-0.21
400;112;-9.84;18.12;-0.18
401;112;-6.31;18.73;-0.08
402;112;-4.94;18.56;-0.16
403;112;-3.37;18.60;-0.16
404;221;-1.93;18.86;-0.21
405;342;1.59;19.46;-0.07
406;112;1.83;19.12;-0.16
407;112;4.85;19.42;-0.09
408;112;6.55;19.77;-0.05
409;112;7.88;19.73;-0.11
410;221;7.25;18.26;-0.03
411;112;11.87;19.85;-0.11
412;112;14.68;19.83;-0.15
413;342;16.83;19.42;-0.08
414;342;16.83;20.10;-0.17
415;342;14.98;21.89;-0.05
416;112;13.00;21.73;-0.12
417;112;10.56;21.65;-0.16
418;112;0.39;20.62;-0.11
419;112;-0.24;21.17;-0.17
420;112;-1.90;20.45;-0.23
421;342;-5.63;19.87;-0.20
422;342;-9.87;19.45;-0.24
423;221;-19.52;19.24;-0.22
424;112;-21.00;18.92;-0.25
425;112;-22.49;18.63;-0.29
426;112;-20.49;20.88;-0.27
427;112;-17.91;21.05;-0.21
428;112;-15.77;21.06;-0.20
429;112;-13.82;21.31;-0.16
430;112;-12.64;21.29;-0.18
431;112;-8.46;21.89;-0.20
432;221;-8.59;22.22;-0.30
433;342;-7.51;21.26;-0.23
434;112;-6.00;21.67;-0.16
435;342;-3.26;22.01;-0.31
436;112;-1.85;22.42;-0.20
437;112;0.13;22.58;-0.23
438;112;7.92;22.96;-0.14
439;112;10.66;23.24;-0.16
440;112;12.44;23.52;-0.21
441;112;13.49;23.54;-0.19
